T2,T3,T4,T5,T6,T7,T8,T2_pred,T3_pred,T4_pred,T5_pred,T6_pred,T7_pred,T8_pred
69.91323,69.90142,62.358692,62.48507,62.41279,62.41279,62.31887,69.97478,69.899506,62.35877,62.440414,62.39004,62.408627,62.26481
69.93193,69.96985,62.14518,62.264755,62.1787,62.1787,62.10113,69.98716,69.971245,62.134308,62.238857,62.17873,62.18672,62.04508
69.93193,69.96985,62.917114,63.061275,63.079044,63.079044,62.921837,69.98106,69.96917,62.931736,63.036003,63.062756,63.08823,62.89868
69.93193,69.96985,62.407967,62.53591,62.46681,62.46681,62.369118,69.994286,69.97026,62.40422,62.504444,62.459137,62.472965,62.313953
69.93193,69.96985,61.70173,61.80718,61.692513,61.692513,61.648907,69.97513,69.972916,61.67883,61.790676,61.705547,61.703682,61.591354
69.9257,69.94704,62.473663,62.6037,62.574852,62.574852,62.45286,69.96977,69.94632,62.478207,62.579056,62.56567,62.583447,62.42711
69.91323,69.90142,61.011913,61.09539,61.24234,61.24234,61.21343,69.81595,69.91763,60.97676,61.15251,61.27084,61.256893,61.20642
69.93193,69.96985,62.079483,62.196964,62.10667,62.10667,62.034134,69.985374,69.9715,62.06683,62.17246,62.10863,62.11516,61.97786
69.93193,69.96985,62.457237,62.586754,62.520832,62.520832,62.419365,69.99562,69.97007,62.45483,62.55424,62.51171,62.526638,62.36437
69.93193,69.96985,62.81857,62.959595,62.91698,62.91698,62.787846,70.005424,69.96871,62.825966,62.919426,62.89727,62.920227,62.73407
69.919464,69.92423,61.86597,61.97665,61.94461,61.94461,61.866646,69.933624,69.92671,61.855286,61.968178,61.948517,61.95432,61.842304
69.93193,69.96985,61.66888,61.77328,61.674503,61.674503,61.615406,69.9608,69.97212,61.65011,61.76642,61.69404,61.69219,61.584988
69.919464,69.92423,61.734577,61.841072,61.764538,61.764538,61.715904,69.950294,69.927246,61.715538,61.822422,61.766376,61.768723,61.662354
69.9257,69.94704,61.455364,61.552967,61.42241,61.42241,61.39767,69.96239,69.950195,61.4275,61.53694,61.43716,61.43177,61.339706
69.9257,69.94704,60.946217,61.027603,60.900208,60.900208,60.895195,69.92834,69.95207,60.90933,61.03532,60.93581,60.919643,60.864277
69.93193,69.96985,61.07761,61.16318,61.008247,61.008247,61.01244,69.9582,69.975266,61.03778,61.1599,61.039585,61.02385,60.952778
69.919464,69.92423,61.455364,61.552967,61.458424,61.458424,61.431168,69.942726,69.9283,61.428757,61.540234,61.468445,61.46459,61.376675
69.9257,69.94704,62.867844,63.010433,63.00702,63.00702,62.87159,69.9871,69.946625,62.877827,62.97252,62.981133,63.006714,62.82145
69.93193,69.96985,61.32397,61.41739,61.27835,61.27835,61.263676,69.96488,69.97434,61.290825,61.40889,61.302464,61.292206,61.204845
69.9257,69.94704,62.490086,62.620647,62.592857,62.592857,62.486362,69.976845,69.94805,62.489826,62.590736,62.57805,62.595238,62.434944
69.9257,69.94704,62.851418,62.99349,62.98901,62.98901,62.838093,69.98002,69.9449,62.86621,62.960842,62.96875,62.994923,62.813618
69.919464,69.92423,61.126884,61.21402,61.09828,61.09828,61.096188,69.933815,69.929535,61.091362,61.20825,61.11794,61.10678,61.04058
69.93193,69.96985,62.720024,62.85791,62.80894,62.80894,62.68735,70.00275,69.969086,62.724747,62.81983,62.792118,62.812885,62.63324
69.9257,69.94704,60.68343,60.756443,60.576084,60.576084,60.610462,69.94145,69.9531,60.63463,60.756775,60.61347,60.590923,60.54989
69.93193,69.96985,61.570335,61.6716,61.54846,61.54846,61.51491,69.971565,69.97341,61.54387,61.65788,61.565346,61.560562,61.456917
69.93193,69.96985,62.128757,62.247807,62.16069,62.16069,62.08438,69.98671,69.971306,62.11744,62.222256,62.161205,62.16883,62.028275
69.93193,69.96985,62.78572,62.925697,62.88097,62.88097,62.754345,70.00453,69.968834,62.792225,62.88623,62.86222,62.884445,62.700462
69.89454,69.83299,60.68343,60.756443,60.612095,60.612095,60.627213,69.89093,69.83483,60.64801,60.746014,60.627872,60.615612,60.597523
69.919464,69.92423,61.931667,62.044437,61.98062,61.98062,61.916893,69.95564,69.926506,61.917976,62.021614,61.97668,61.983406,61.86401
69.93193,69.96985,61.66888,61.77328,61.674503,61.674503,61.615406,69.9608,69.97212,61.65011,61.76642,61.69404,61.69219,61.584988
69.93193,69.96985,62.490086,62.620647,62.556843,62.556843,62.45286,69.99651,69.96995,62.48857,62.58744,62.546764,62.56242,62.397976
69.93193,69.96985,62.161606,62.2817,62.196705,62.196705,62.11788,69.9876,69.97118,62.151176,62.255455,62.196255,62.204613,62.061882
69.93193,69.96985,61.258278,61.3496,61.206326,61.206326,61.196682,69.9631,69.97459,61.223347,61.342495,61.23236,61.220642,61.137627
69.9257,69.94704,62.079483,62.196964,62.12468,62.12468,62.050884,69.97251,69.94872,62.068317,62.171734,62.121517,62.12979,61.996555
69.919464,69.92423,61.91524,62.027493,61.94461,61.94461,61.883392,69.962006,69.9257,61.901337,62.000996,61.940758,61.94733,61.828934
69.93193,69.96985,62.128757,62.247807,62.16069,62.16069,62.08438,69.98671,69.971306,62.11744,62.222256,62.161205,62.16883,62.028275
69.919464,69.92423,60.60131,60.671707,60.48605,60.48605,60.52672,69.93317,69.92976,60.552,60.669033,60.520336,60.497917,60.46629
69.9257,69.94704,62.834995,62.97654,62.971004,62.971004,62.838093,69.986206,69.946754,62.84409,62.93932,62.94608,62.970932,62.78784
69.919464,69.92423,62.555782,62.688435,62.664886,62.664886,62.553356,69.97257,69.92416,62.55902,62.65239,62.642643,62.66324,62.502586
69.93193,69.96985,60.48634,60.553078,60.46804,60.46804,60.493217,69.89471,69.98094,60.43433,60.59136,60.524193,60.495018,60.46641
69.93193,69.96985,61.02834,61.11234,60.954227,60.954227,60.962193,69.95686,69.97545,60.98717,61.110104,60.987007,60.97018,60.902363
69.919464,69.92423,62.243725,62.366436,62.30475,62.30475,62.218376,69.97091,69.92446,62.23873,62.33298,62.291267,62.305138,62.165028
69.907005,69.87862,60.765553,60.841183,60.70213,60.70213,60.727707,69.911896,69.883606,60.723667,60.833576,60.721367,60.706078,60.671726
69.91323,69.90142,60.568462,60.637814,60.46804,60.46804,60.509968,69.91941,69.90712,60.519745,60.63511,60.498173,60.476765,60.451378
